,Date,Time,Bus,Count,On off,Latitude,Longitude,Route,Stop,CorrectStop
1650,11/13/2019,11:32:13,2402,1,on,35.306884766,-80.725341797,Silver,EPIC N,Lot 5A
1654,11/13/2019,11:33:32,2401,1,off,35.311862946,-80.733161926,Green,North Deck,Wallis Hall E/Light Rail
1656,11/13/2019,11:33:46,2401,6,on,35.311927795,-80.73324585,Green,North Deck,Wallis Hall W/Light Rail
1658,11/13/2019,11:33:51,2407,1,on,35.310813904,-80.729293823,Silver,Woodward Hall East,Student Health N
1660,11/13/2019,11:33:55,2407,1,off,35.310939789,-80.729316711,Silver,Woodward Hall East,Student Health N
1662,11/13/2019,11:34:30,2411,1,on,35.310043335,-80.742034912,Silver,EPIC N,EPIC S
1663,11/13/2019,11:34:31,2402,3,off,35.308208466,-80.729248047,Silver,EPIC N,Hickory Hall North
1669,11/13/2019,11:35:43,2402,1,off,35.307601929,-80.732681274,Silver,EPIC N,Student Union E
1670,11/13/2019,11:35:45,2402,1,on,35.307476044,-80.732749939,Silver,EPIC N,Student Union E
1671,11/13/2019,11:35:55,2407,1,off,35.308868408,-80.725082397,Silver,Woodward Hall East,Lot 6
1672,11/13/2019,11:35:57,2407,3,on,35.308868408,-80.725082397,Silver,Woodward Hall East,Lot 6
1679,11/13/2019,11:37:09,2407,1,on,35.307243347,-80.725250244,Silver,Woodward Hall East,Lot 5A
1690,11/13/2019,11:38:51,2407,1,off,35.307495117,-80.729309082,Silver,Woodward Hall East,Fretwell N
1733,11/13/2019,11:45:09,2410,1,on,35.309902191,-80.74193573,Silver,EPIC N,EPIC S
1748,11/13/2019,11:46:55,2402,2,on,35.311904907,-80.744018555,Silver,CRI Deck,Portal W
1777,11/13/2019,11:50:57,2402,2,on,35.309642792,-80.742195129,Silver,CRI Deck,EPIC S
1795,11/13/2019,11:53:40,2402,1,on,35.30796051,-80.734519958,Silver,CRI Deck,Woodward Hall East
1801,11/13/2019,11:54:40,2402,6,off,35.308071136,-80.732719421,Silver,CRI Deck,Student Union E
1808,11/13/2019,11:55:50,2402,2,on,35.308036804,-80.73034668,Silver,CRI Deck,Aux Services East
1810,11/13/2019,11:55:52,2402,2,off,35.308036804,-80.73034668,Silver,CRI Deck,Aux Services East
1819,11/13/2019,11:57:36,2402,1,on,35.309059143,-80.729278564,Silver,CRI Deck,Hickory Hall North
1820,11/13/2019,11:57:43,2411,1,on,35.309833527,-80.741783142,Silver,EPIC N,EPIC S
1830,11/13/2019,11:58:56,2402,1,off,35.310260773,-80.726661682,Silver,CRI Deck,Martin Hall
1831,11/13/2019,11:59:10,2402,6,on,35.310245514,-80.726669312,Silver,CRI Deck,Martin Hall
1840,11/13/2019,12:00:20,2402,2,off,35.308696747,-80.725105286,Silver,CRI Deck,Lot 6
1849,11/13/2019,12:01:34,2402,1,off,35.307231903,-80.725257874,Silver,CRI Deck,Lot 5A
1850,11/13/2019,12:01:36,2402,1,on,35.307296753,-80.725257874,Silver,CRI Deck,Lot 5A
1855,11/13/2019,12:02:22,2410,3,on,35.307518005,-80.730003357,Silver,East Deck 2,Fretwell N
1856,11/13/2019,12:02:24,2410,12,off,35.30752182,-80.729873657,Silver,East Deck 2,Fretwell N
1874,11/13/2019,12:03:48,2402,1,on,35.307346344,-80.7293396,Silver,CRI Deck,Fretwell N
1875,11/13/2019,12:03:48,2402,3,off,35.307346344,-80.7293396,Silver,CRI Deck,Fretwell N
1886,11/13/2019,12:04:59,2401,10,on,35.312145233,-80.733047485,Green,Wallis Hall W/Light Rail,Wallis Hall E/Light Rail
1887,11/13/2019,12:05:06,2402,4,off,35.308139801,-80.732658386,Silver,CRI Deck,Student Union W
1889,11/13/2019,12:05:38,2402,16,on,35.308013916,-80.732765198,Silver,CRI Deck,Student Union E
1905,11/13/2019,12:08:15,2401,2,on,35.30796051,-80.733345032,Green,Woodward Hall East,Student Union E
1916,11/13/2019,12:09:12,2402,8,off,35.310935974,-80.741462708,Silver,CRI Deck,Grigg Hall W
1921,11/13/2019,12:10:16,2402,2,off,35.312793732,-80.740882874,Silver,CRI Deck,Motor Sports
1924,11/13/2019,12:10:23,2409,19,on,35.30991745,-80.74180603,Silver,EPIC N,EPIC S
1929,11/13/2019,12:11:22,2402,4,off,35.31111908,-80.743080139,Silver,PORTAL East,Portal W
1930,11/13/2019,12:11:38,2402,16,on,35.311084747,-80.743118286,Silver,PORTAL East,Portal W
1943,11/13/2019,12:12:54,2402,3,on,35.309429169,-80.744148254,Silver,PORTAL East,CRI Deck
